p	E	Mean edge participation	Std edge participation	Largest cycle size	Mean cycle size	Std cycle size	Number of cycles	Number cycle connected components	Number of TR edges	Longest path	Number of nodes	Number of edges	Balance	Balance_norm	Number_diamonds	Number_mixers	Largest eigenvalue M_C	Largest eigenvalue A_C	Mean cycle height	Std cycle height	Mean stretch	eigenvalue_ratio	Largest M_C by corr size
6	2531	2.723867596	2.999632095	7	4.818181818	0.659814437	649	1	1148	15	500	1148	0.120317493	0.094984418	304	345	41.19343971	36.37104178	7.230816641	1.765414183	5.653312789	0.882932866	10.29835993
6	2588	2.613592233	2.854431014	8	5.069679849	0.759648355	531	1	1030	18	500	1030	0.141198426	0.110182553	226	305	48.03650628	42.97437707	9.542646399	2.123545603	6.186440678	0.894619122	12.00912657
6	2545	2.563909774	3.863952131	7	4.828318584	0.64677129	565	1	1064	14	500	1064	0.113782869	0.09158043	339	226	73.17993515	68.06933555	7.452410451	1.16840334	4.189380531	0.930163923	18.29498379
6	2567	2.666666667	3.331817837	8	4.802568218	0.661623921	623	1	1122	14	500	1122	0.114304244	0.091274807	334	289	54.9549843	50.07828387	8.075945884	1.5285122	4.92776886	0.911260089	13.73874607
6	2498	2.613841525	2.811769395	7	5.232931727	0.790226341	498	1	997	19	500	997	0.151239523	0.11684181	218	280	47.46041885	41.92284034	9.190222796	2.39073476	6.437751004	0.883322174	11.86510471
6	2527	2.632030505	2.621674665	7	5.02	0.722092918	550	1	1049	17	500	1049	0.142940636	0.110148468	215	335	37.90164897	32.75541883	9.033341991	1.977330553	6.485454545	0.864221471	9.475412242
6	2575	2.545189504	3.166139594	7	4.941509434	0.674588334	530	1	1029	16	500	1029	0.131548285	0.10368597	256	274	52.37356002	47.52483471	8.299330638	1.763395369	5.543396226	0.90742036	13.09339001
6	2602	2.634457612	3.068114238	7	4.83277592	0.676007352	598	1	1097	16	500	1097	0.122422884	0.095480612	255	343	51.71270619	46.72542641	8.185654563	1.715648863	5.162207358	0.903557943	12.92817655
6	2549	2.650317893	2.966413932	7	4.84717608	0.681921508	602	1	1101	18	500	1101	0.121502059	0.095860158	268	334	43.0287644	38.02808072	8.38511707	1.979673494	6.033222591	0.883782773	10.7571911
6	2565	2.644177449	3.050712519	7	4.907375643	0.701625514	583	1	1082	19	500	1082	0.121448102	0.096030811	287	296	46.73018882	41.8295208	8.394592829	1.991335307	6.608919383	0.895128435	11.68254721
6	2470	2.634724858	3.290543213	8	5.003603604	0.787278117	555	1	1054	14	500	1054	0.120586551	0.096900095	327	228	58.31965166	53.7578074	6.638616474	1.942178945	5.34954955	0.921778609	14.57991292
6	2525	2.689302326	3.020584723	7	5.019097222	0.729809158	576	1	1075	17	500	1075	0.13891591	0.108181586	277	299	47.7923607	42.65166445	8.810801091	2.084303438	5.8125	0.892436863	9.55847214
6	2492	2.693476318	3.294572998	7	4.861290323	0.691038218	620	1	1119	16	500	1119	0.120018263	0.093652656	284	336	56.91214734	52.09280715	7.09218894	1.844862647	5.601612903	0.915319656	14.22803684
6	2487	2.697530864	3.122322922	7	4.817322835	0.712994626	635	1	1134	14	500	1134	0.111957006	0.088387499	296	339	51.40527187	46.46249287	6.87648294	1.449607211	4.729133858	0.903846846	12.85131797
6	2589	2.547459252	3.294785206	8	4.884191176	0.709318288	544	1	1043	16	500	1043	0.122036345	0.096448635	281	263	57.89751954	52.99686126	7.792415091	1.838112632	5.365808824	0.915356334	14.47437989
6	2545	2.61038961	3.518617808	7	4.860103627	0.659287827	579	1	1078	14	500	1078	0.120281019	0.096016182	331	248	60.29398815	55.31614132	7.442713217	1.222809515	4.226252159	0.917440412	15.07349704
6	2573	2.476237624	3.192802813	7	4.894324853	0.721888074	511	1	1010	16	500	1010	0.125031009	0.09853693	248	263	51.66538499	46.56256264	8.622318516	1.528994409	5.142857143	0.901233246	12.91634625
