p	E	Mean edge participation	Std edge participation	Largest cycle size	Mean cycle size	Std cycle size	Number of cycles	Number cycle connected components	Number of TR edges	Longest path	Number of nodes	Number of edges	Balance	Balance_norm	Number_diamonds	Number_mixers	Largest eigenvalue M_C	Largest eigenvalue A_C	Mean cycle height	Std cycle height	Mean stretch	eigenvalue_ratio	Largest M_C by corr size
0.6	74849	1.396121884	0.874942928	7	4.520179372	0.694821308	223	40	722	327	500	722	0.066664346	0.05587391	193	30	13.52106287	8.954016328	152.983312	88.41290722	2.829596413	0.662227253	2.704212574
0.6	74923	1.42679558	0.859718705	9	4.591111111	0.755372527	225	49	724	328	500	724	0.079033866	0.065890549	193	32	15.36105497	11.03156398	163.3483739	98.35567266	2.924444444	0.718151455	3.840263742
0.6	74918	1.402816901	0.826322556	9	4.720379147	0.994063826	211	40	710	333	500	710	0.08193281	0.066783412	177	34	13.52252852	7.986944068	162.1748721	88.14728998	3.127962085	0.249382452	3.38063213
0.6	74944	1.459644323	0.893478047	8	4.599137931	0.753497099	232	41	731	328	500	731	0.081034676	0.066858045	200	32	13.96503776	9.212351456	176.9121562	96.97732717	3.103448276	-0.289736631	3.491259439
0.6	74517	1.440934066	0.89062591	9	4.580786026	0.845629552	229	40	728	336	500	728	0.07293811	0.059508445	193	36	12.29193888	7.972869733	177.7627296	101.7952173	2.991266376	0.648625885	2.458387777
0.6	74750	1.308802309	0.867828314	8	4.675257732	0.886732788	194	48	693	344	500	693	0.082056736	0.067777211	177	17	16.50897696	12.37629253	173.512408	98.36128167	3.06185567	0.749670471	4.127244239
0.6	74817	1.49255751	0.861685627	8	4.595833333	0.836151485	240	41	739	321	500	739	0.073543107	0.060849295	216	24	13.51612446	9.339722572	177.5100843	89.85712598	3.066666667	0.691005961	2.703224893
0.6	75048	1.469635628	0.948446277	6	4.5	0.604733395	242	42	741	328	500	741	0.069530685	0.058315009	197	45	15.21483881	10.75263471	168.7887052	94.94310179	3.049586777	0.006100125	3.803709704
0.6	74616	1.521970706	0.916912758	9	4.535714286	0.778374811	252	38	751	318	500	751	0.070992688	0.058895198	215	37	13.34253828	8.864002728	153.3967467	100.1720749	2.920634921	0.664341562	3.335634571
0.6	74794	1.419444444	0.821015443	8	4.624434389	0.876614359	221	40	720	335	500	720	0.083000696	0.067710697	189	32	12.37281743	7.368226633	161.1213478	96.68489393	3.190045249	-0.073070926	1.546602179
0.6	74802	1.361971831	0.876912991	11	4.582938389	0.92694928	211	39	710	337	500	710	0.072962341	0.06016516	187	24	14.00646865	8.092899592	165.5745842	100.5890228	3.028436019	0.469324974	2.801293729
0.6	74850	1.418181818	0.886545615	9	4.694444444	0.881479536	216	40	715	332	500	715	0.084007931	0.069080333	184	32	13.81379549	9.167861635	172.6162754	95.24371624	3.189814815	0.357166935	2.762759098
0.7	87196	1.182089552	0.83199551	9	4.631578947	0.904147279	171	50	670	368	500	670	0.077428061	0.063763306	151	20	12.3240421	7.266657518	188.9336721	102.8227998	3.005847953	-0.162284418	3.081010524
0.7	87524	1.043209877	0.744102454	10	4.536912752	0.916101237	149	58	648	376	500	648	0.066569062	0.054853581	137	12	10.43293642	5.447319137	166.6838021	105.337159	2.751677852	0.438388034	2.086587284
0.7	87225	1.112121212	0.829113282	7	4.559006211	0.802517162	161	49	660	375	500	660	0.072648434	0.060142936	147	14	12.90202536	8.833206134	172.7297101	105.4323207	2.708074534	0.68463717	3.22550634
0.7	87198	1.041538462	0.760443657	7	4.483443709	0.717374764	151	64	650	377	500	650	0.065397148	0.0543577	139	12	12.24238659	8.11782713	180.7065279	108.109326	2.695364238	0.663091879	3.060596647
0.7	87609	1.089393939	0.850780175	7	4.465838509	0.650189231	161	53	660	373	500	660	0.061643244	0.052033231	144	17	12.46998839	7.952832704	194.6188554	107.6864918	2.714285714	0.637757828	3.117497097
0.7	87305	1.066971081	0.763566566	7	4.436708861	0.669720746	158	56	657	370	500	657	0.059938022	0.050367169	146	12	10.39637084	5.675068914	200.0563743	99.27997593	2.658227848	-0.283156826	2.599092709
0.7	87089	1.187958884	0.839499591	8	4.445054945	0.71464488	182	53	681	355	500	681	0.055725511	0.046837305	168	14	11.51240739	6.436446145	169.2573391	100.5882106	2.576923077	0.559087768	2.878101846
0.7	87354	1.148148148	0.859961399	7	4.403409091	0.604706703	176	58	675	364	500	675	0.057156037	0.048102417	159	17	12.87307366	8.31248042	181.9099567	107.7105446	2.693181818	0.64572616	2.574614732
0.7	87419	0.884057971	0.76523935	7	4.5	0.692465304	122	53	621	394	500	621	0.064851444	0.054597081	113	9	10.32697264	5.730154763	179.0010343	116.4883176	2.721311475	0.537914237	2.065394529
0.7	87257	1.083333333	0.869009072	7	4.440993789	0.685653521	161	59	660	374	500	660	0.056898656	0.047565296	148	13	12.36399058	8.362151248	184.7077788	111.6412598	2.670807453	-0.009056867	3.090997644
0.7	87248	1.134529148	0.784655129	7	4.464705882	0.678615525	170	58	669	370	500	669	0.062219707	0.052400075	154	16	10.21963661	5.981867938	173.4581653	107.4817002	2.741176471	0.484860847	2.554909151
0.7	87416	1.053763441	0.794681128	7	4.513157895	0.743275486	152	59	651	373	500	651	0.065345252	0.054217272	137	15	11.62175991	6.729895808	175.3762218	102.6441544	2.657894737	0.098323902	2.905439977
0.7	87645	1.118796992	0.827729059	7	4.481927711	0.627894661	166	57	665	368	500	665	0.066025762	0.056038255	150	16	10.80105353	6.367918891	187.3316265	100.2480016	2.722891566	-0.229941608	2.160210707
0.7	87117	1.142857143	0.800191304	7	4.439306358	0.699350304	173	54	672	357	500	672	0.053869444	0.04527753	162	11	10.4435611	6.194244877	192.3011974	95.65302389	2.566473988	-0.222415698	2.610890276
0.7	87455	1.218658892	0.92203442	7	4.470588235	0.656470205	187	51	686	361	500	686	0.064283275	0.053844153	160	27	12.66448387	8.263143123	197.6122231	105.7027476	2.796791444	0.247356112	2.532896774
0.7	87287	1.054012346	0.750626865	9	4.583892617	0.867772518	149	59	648	372	500	648	0.07202874	0.059495639	135	14	11.64888428	7.286581519	197.0804943	107.3739821	2.77852349	0.625517547	2.912221071
0.7	87164	1.045101089	0.830683045	11	4.666666667	1.03413947	144	49	643	385	500	643	0.083090347	0.067413628	128	16	12.89473791	8.378589714	178.1238982	107.9808554	3.208333333	0.649768128	3.223684477
0.7	87272	1.015479876	0.819504118	8	4.462585034	0.721601666	147	50	646	379	500	646	0.057091497	0.04820411	134	13	10.82990256	6.401295566	196.6108844	108.1507188	2.761904762	0.089850039	2.70747564
0.7	87593	1.107946027	0.836057613	6	4.398809524	0.608861945	168	56	667	371	500	667	0.055815138	0.047037799	151	17	12.10339875	7.705041142	181.59375	105.2511959	2.732142857	0.636601446	3.025849688
0.7	87530	1.080547112	0.782338288	8	4.471698113	0.698707889	159	61	658	374	500	658	0.065096514	0.05444907	144	15	12.41559685	8.000302974	192.1591494	117.1617808	2.729559748	-0.161087705	2.48311937
