m	E	Mean edge participation	Std edge participation	Largest cycle size	Mean cycle size	Std cycle size	Number of cycles	Number cycle connected components	Number of TR edges	Longest path	Number of nodes	Number of edges	Balance	Balance_norm	Number_diamonds	Number_mixers	Largest eigenvalue M_C	Largest eigenvalue A_C	Mean cycle height	Std cycle height	Mean stretch	eigenvalue_ratio	Largest M_C by corr size	
0.1	12547	3.033404406538735	1.601223322515078	6	4.700440528634362	0.5752990256641471	908	1	1407	85	500	1407	0.10505190721834204	0.08541965798257259	599	309	23.927477917931146	18.838984930363956	37.453891336270196	23.114826164217533	7.38546255506608	0.7873368432301887	5.9818694794827865	
0.1	12456	3.05	1.6861833487833657	6	4.739178690344062	0.5348114609966573	901	1	1400	86	500	1400	0.11330589643445647	0.0924884528543626	594	307	23.347986526908667	18.58224557396474	39.33512763596004	23.98139200680199	7.839067702552719	0.7958821439505549	5.836996631727167	
0.1	12398	3.0825565912117177	1.7068365281658704	6	4.616151545363908	0.555241807297857	1003	1	1502	79	500	1502	0.09213765995544883	0.07590086955140987	692	311	26.542544086709476	21.68367750046416	37.630225988700566	21.957826103956318	7.3938185443669	0.8169404345577305	6.635636021677369	
0.1	12481	3.076079506511309	1.705644215451566	6	4.675	0.5328774092916057	960	1	1459	86	500	1459	0.10310187949703672	0.08492670823280131	654	306	27.019765187563202	22.27503398320114	40.89743055555555	23.014098934429217	8.532291666666667	0.8243977632142417	5.403953037512641	
0.1	12534	3.007919366450684	1.6323125077900567	7	4.69438202247191	0.5414005040117936	890	1	1389	84	500	1389	0.10704455166441952	0.08735906097421368	575	315	22.604317582678362	17.68868930029521	40.09785981808454	25.500090142626735	7.046067415730337	0.7825358688930301	4.520863516535672	
0.1	12291	3.0935397039030956	1.6602384294946437	6	4.657548125633232	0.5154662327902213	987	1	1486	81	500	1486	0.10203111521113276	0.08404086748521221	679	308	24.409653735783245	19.663155535373967	37.54436001350895	21.21406161655355	7.7304964539007095	0.8055483190467726	4.881930747156649	
0.1	12511	3.0206258890469417	1.633225837197639	7	4.682469680264608	0.544139132683893	907	1	1406	91	500	1406	0.10352817549837125	0.08510892611383213	611	296	21.80321892809335	16.939486653110247	43.96919724891059	25.678980079959267	7.863285556780595	0.7769259534097415	5.450804732023338	
0.1	12403	3.038598999285204	1.593391385456515	6	4.723333333333334	0.5313609361295243	900	1	1399	89	500	1399	0.11169098294932885	0.09098865343581312	579	321	23.813154706193668	18.90956695243064	40.04668518518518	23.967073989474414	8.034444444444444	0.7940807165508553	5.953288676548417	
0.1	12355	3.0865650969529086	1.6179779801892686	7	4.716402116402117	0.5539619370682326	945	1	1444	85	500	1444	0.10817761458120974	0.08853885975215735	645	300	22.056123461185052	17.269323748106075	40.26152431342907	20.81838072727377	7.934391534391534	0.7829718480900366	4.411224692237011	
0.1	12369	3.0966022651565623	1.6289749562519784	6	4.63872255489022	0.5353917036316721	1002	1	1501	82	500	1501	0.09810062613737505	0.08080105050437274	695	307	24.04702660492195	19.346654649083884	44.6230372588157	21.447752412692648	7.893213572854291	0.8045341724337765	4.80940532098439	
0.1	12602	3.0094202898550724	1.567994550472979	7	4.713961407491487	0.5815145932134059	881	1	1380	83	500	1380	0.1076951995923804	0.08744905203754609	588	293	22.30989040710078	17.553961736995493	37.90561050754014	22.846724465570905	6.847900113507378	0.7868242029287794	5.577472601775195	
0.2	24940	2.560798548094374	1.3657153106300604	10	4.679933665008292	0.6853443256404497	603	2	1102	155	500	1102	0.09646615518359287	0.07904427116077649	437	166	20.234573468522726	14.670012469509796	75.12623983258311	41.8003429206009	5.701492537313433	0.7249973661333033	5.058643367130681	
0.2	24846	2.579136690647482	1.3940508139817391	7	4.67862969004894	0.6305051820303419	613	1	1112	139	500	1112	0.09596515571639902	0.07855160261454276	435	178	21.082089587922656	16.130801384535733	70.2158510059815	38.383240229909504	5.032626427406199	0.7651424360598781	5.270522396980664	
0.2	24947	2.6632566069906223	1.383123945911528	7	4.635014836795253	0.5969925242110204	674	1	1173	150	500	1173	0.09449732065939402	0.0774614583005386	455	219	20.173468444967803	15.482529980676428	76.42086689275116	43.49003041648864	6.169139465875371	0.7674699084548591	5.043367111241951	
0.2	24961	2.626814688300598	1.4640345325649187	7	4.5773809523809526	0.6338377422075085	672	1	1171	145	500	1171	0.08163099603891807	0.06677469074413098	478	194	22.350381753158516	17.988377602522547	75.78723072562359	37.60328065042073	5.8586309523809526	0.804835362598693	5.587595438289629	
0.2	24886	2.6309834638816363	1.4299838376897125	8	4.650769230769231	0.6489335812696152	650	1	1149	155	500	1149	0.09150669615792505	0.07491148436491608	456	194	22.91053709765478	17.973738224202858	71.00157692307691	43.90894605072635	5.9107692307692306	0.784518413845598	4.582107419530956	
0.2	24811	2.672033898305085	1.3882305279927052	8	4.629955947136564	0.6443575255036201	681	2	1180	139	500	1180	0.08798459718437847	0.07242558191577762	486	195	19.061151479436717	14.486086903071193	62.66537305083561	39.78144582719962	5.505139500734215	0.7599796328516076	4.765287869859179	
0.2	24857	2.6132983377077865	1.415783379188493	9	4.638198757763975	0.6362500662717097	644	1	1143	144	500	1143	0.09187240342226077	0.07588251848702966	466	178	22.586993430910642	18.00503763066793	69.96584713595583	42.84332054641348	5.0978260869565215	0.7971418456264198	3.7644989051517737	
0.2	25022	2.6279271465741543	1.4587061791723233	7	4.63302752293578	0.5955063703798452	654	1	1153	141	500	1153	0.09317950480449769	0.07671576641115342	477	177	19.39333105252666	14.673118877966264	71.4193243046454	40.279448122844826	5.223241590214068	0.7566064250759323	4.848332763131665	
0.2	25013	2.680602006688963	1.3200251994640304	7	4.599713055954089	0.6004779810741911	697	1	1196	141	500	1196	0.08547012967341278	0.07023667664141464	503	194	18.980017660479216	14.02129291144216	70.46868552298969	38.13391302160503	5.450502152080344	0.7387397189117338	4.745004415119804	
0.2	25022	2.595048629531388	1.318618718500268	8	4.643987341772152	0.6522807501796747	632	1	1131	152	500	1131	0.09023467352638546	0.07406846094090319	444	188	18.399371082395042	13.667663665059242	80.49549804098855	41.85971102697078	5.6155063291139244	0.742833198148647	4.599842770598761	
0.2	24911	2.5899280575539567	1.4145337571864334	8	4.698205546492659	0.6772557933503847	613	1	1112	157	500	1112	0.09780287918772128	0.07962132722482071	432	181	21.997741193227327	17.057730877408027	74.86714635283151	45.28434440914551	6.300163132137031	0.7754310193748333	4.399548238645465	
0.2	25001	2.69983416252073	1.36326477671675	7	4.605374823196605	0.6235586782961441	707	1	1206	136	500	1206	0.0853647112336569	0.07047638940278443	504	203	20.600266156291426	15.978478780995378	67.11299589142587	37.35084121315568	5.189533239038189	0.7756442882712692	3.4333776927152377	
0.2	24900	2.6878172588832485	1.3777923710434439	7	4.651537335285505	0.6087044132103145	683	1	1182	140	500	1182	0.0939290763157568	0.07714128166002424	485	198	19.939769740283992	15.11113409852428	64.58266750331173	39.10787406031791	5.617862371888727	0.7426516769410425	4.984942435070998	
0.2	25173	2.648854961832061	1.4221756243620771	7	4.5926470588235295	0.6256328975456369	680	1	1179	150	500	1179	0.08396962151065218	0.06917216013713766	483	197	21.461530271544234	17.001153306433395	79.22860644257703	41.550514532537484	5.679411764705883	0.7921687359346954	5.3653825678860585	
0.2	25244	2.6759729272419626	1.4713558416655859	8	4.63103953147877	0.6616696148813049	683	1	1182	150	500	1182	0.09031767829991035	0.07358760776503485	492	191	21.707201921293294	16.812437366852787	75.94655755420763	40.92510448738213	5.710102489019033	0.774509650198671	5.426800480323323	
0.2	24877	2.6779089376053964	1.4677423021666167	7	4.622998544395925	0.6096705185520098	687	1	1186	145	500	1186	0.09141653861202446	0.07517964660574651	488	199	21.676323543785067	16.87331178596158	75.11485755874403	40.54171880032397	5.870451237263464	0.7784212923320853	5.419080885946267	
0.2	25053	2.724937862468931	1.4565451998096004	7	4.645480225988701	0.5989816413473249	708	1	1207	142	500	1207	0.0936598972035936	0.0774752161499376	503	205	20.60469408386643	15.729918177615708	70.30502757600215	38.926115938213655	6.0607344632768365	0.7634143032452156	5.151173520966608	
0.2	24998	2.608385370205174	1.3884579582407335	7	4.70096463022508	0.6568699788900277	622	1	1121	156	500	1121	0.0975732015893691	0.07950984555431923	426	196	21.06774417473951	16.157942099630063	78.24304853774308	44.87050946886277	5.709003215434084	0.7669516947620637	5.266936043684877	
